Caption,Rank
"More important, however, is what I learned about myself.",1
"First, you must gain their trust.",2
"Well, it was just easier than making a thousand tiny lab coats.",3
"This is my stop. Phil, you'll be CEO till Sixty-third Street.",1
"Yes, I do miss the corporate jet. I miss the corporate jet very much.",2
"Frank called to say he'll be late, he's stuck at the office.",3
"Neither the time nor the place, Doug!",1
Would it kill you to use a few of your roaming minutes?,2
This better be good. That floor was waxed last night!,3
Remember that time you made me laugh and people came out of my nose?,1
How about Little Italy for dessert?,2
Pass me a beer truck.,3
Tell my one-thirty things got way gnarly.,1
Gotta reschedule. Water-main break on Seventh!,2
"Hold my calls, cancel my appointments, and find my Speedo!",3
"It's me, '9,' from yoga class.",1
"Last thing I remember, the guy said, 'Pick a number.'",2
I represent several Arabic numerals who are being held without charges.,3
"Relax, honey, everybody gets buyer's remorse.",1
You always get like this when there's a full earth.,2
It's just the wind.,3
"He's the cutest little thing, and when you get tired of him you just flush him down the toilet.",1
You wouldn't believe it! I met a man at the pet store.,2
We decided on separate vacations this year.,3
Try telling that to the Kansas Board of Education.,1
"What's more important, youthful hair or FDA approval?",2
Simple. I just wear my pants backward.,3
"Well, if you must know, he makes me laugh.",1
I'm beginning to think I liked you better when you worked at Morgan Stanley.,2
I told you not to bring the clown!,3
I guess my wife couldn't make it.,1
"Frankly, your brochure is a bit misleading.",2
"Gee, you guys really are having trouble meeting your recruitment quota.",3
And tomorrow I'll teach you how to build a nest.,1
Can I have your apartment?,2
There's a message on my leg from Karl Rove.,3
This is why I love yard sales.,1
"OK Now you be the naughty mosquito, and I'll be the tormented sporting-goods salesman.",2
I think we need a new sex therapist.,3
"Oh, sure, they find one secretary in a pool of her own blood and everybody wants to blame the werewolf.",1
"Four hundred grand in damages? It was made out of straw, for Chrissake!",2
"Yes, of course I've tried waxing.",3
"Well, it's a lovely gesture, but I still think we should start seeing other people.",1
Don't move. I think I have something in my teeth.,2
"It may look like the Virgin Mary, but I don't see how you can sell it on eBay.",3
"OK, they're yours, but I still don't know where you got that fourth ace.",1
Keep your eye out for a blond kid with a laser pointer.,2
I think it's important for them to hear both sides of the debate.,3
"Yes, I tried tapping on the glass.",1
"Well, the good news is the giant worms are gone.",2
Maybe you'll believe me once I've been regurgitated.,3
"FEMA here. No, we haven't had any substantiated reports of earthquakes.",1
Let me call you back. I left God holding on the other line.,2
"Miss Jones, send in the extra paperweights.",3
'See Spot run.' 'See Spot run'? Who wrote this crap?,1
"You won't believe this, but I just remembered where I buried the remote.",2
"Oh, did I mention that Timmy fell down the well?",3
We met at the minibar.,1
"Larry can't tell you about his current project, it's top secret.",2
"Whatever you do, don't agree to play hide-and-seek with him.",3
This is why I always dress in bright colors.,1
"It's our new interactive TV. When he's done, I'm having an appendectomy on 'General Hospital.'",2
We've got a thirty-six-inch plasma mounted in the den.,3
"Well, then, it's unanimous.",1
"Who else found Gary's report a little too angry, white, and male?",2
"So that settles it. This year, instead of cooking the books, we'll bake them in a light, flaky pastry.",3
But how will we raise the kids?,1
You think this is weird? My sister looks like a soup can.,2
"It's not traditional, but I find it attracts a more mature type of female.",3
Hold my hand and we can use the car-pool lane.,1
