Caption,Rank
"My client pleads celebrity, Your Honor.",1.0
"Whom are you going to believe, Donald—us or the lying media?",1.0
A pet always boosts a President’s approval rating.,1.0
"First of all, thanks for having me on your show and welcoming opposing points of view.""",1.0
The seventh-inning stretch.,1.0
"It’s not an April Fools’ prank, it’s preëmptive damage control.",1.0
We’ve been home binge-watching CNN.,1.0
"Tell them is fake news, work of moose and squirrel.",1.0
An elegy for the E.P.A.,1.0
All we ever talk about anymore is plagues.,1.0
And then clean out the gutters.,1.0
I’m not happy.,1.0
Pays for Itself.,1.0
We’re running out of diversions. We have no choice but to crimp his hair.,1.0
"She’s two months, or twenty-six in Trump years.",1.0
It’s the wiretap evidence!,1.0
Love Trump’s Hate.,1.0
I doubt it can top February Madness.,1.0
"I know, right? Something other than politics!",1.0
The Russians hacked my homework.,1.0
Can’t you spring it forward another thirty-five thousand and sixty-four hours?,1.0
Your heart needs to be repealed and replaced.,1.0
William Henry Harrison had a better second month.,1.0
By order of the President.,1.0
"This call may be monitored or recorded for quality assurance, training purposes, marketing data, leaks, foreign blackmail, or national-security reasons.",1.0
You aren’t the only intelligent life in the universe who elected an embarrassing buffoon.,1.0
"By Jove, you’ve got it! Unprofessional, clingy, boorish, volatile, fake-macho, and weirdly desperate—a handshake patently your own, Mr. Trump.",1.0
A tale of two Sessions.,1.0
We fixed the main leak that was destabilizing our government.,1.0
It’s . . . it’s . . . it’s learning to appear vaguely Presidential!,1.0
I’ll take questions from the only reporter who trusts this Administration.,1.0
"It’s touching, actually, to see white dudes fumble around for a few last moments in the spotlight.",1.0
A response to Donald Trump’s bathroom politics.,1.0
We’re rounding up undocumented foreign transplants that conceal evil plots against our country.,1.0
It lets you hold the President’s attention for a few extra seconds before he wants to change channels.,1.0
Leaked drafts of Trump’s reëlection campaign signs.,1.0
The rest is background noise during a major action organized against the Trump Administration.,1.0
It’s time we have a little chat.,1.0
You know things are bad when Trump tries to start a sex scandal to create a diversion.,1.0
"At this point, even I wish Hillary had won.",1.0
Love at first sign.,1.0
I’m also returning these Ivanka Trump brand clothes. They chafe my morals.,1.0
She was warned.,1.0
Don’t worry—I’m tweeting that climate change is fake.,1.0
I will study hard unlike Betsy DeVos.,1.0
At least we know where Neil Gorsuch stands on the separation of church and state.,1.0
Which team does Frederick Douglass play for?,1.0
You’re accidentally debriefing a bowl of mushy oranges and dead canaries.,1.0
Punxsutawney Phil can also predict the political climate.,1.0
The Year of the Rooster has gotten off to an auspicious start.,1.0
I’ll take it from here.,1.0
The new airport lounges of Trump’s America.,1.0
